game_id,game_date,season,game_type,home_team_id,away_team_id,home_team,away_team,home_runs,away_runs,home_won,total_runs,margin,is_reds_game,home_wins,home_losses,away_wins,away_losses,roll5_home_runs,roll5_away_runs,roll5_total,roll5_margin,roll10_home_runs,roll10_away_runs,roll10_total,roll10_margin,ewm5_home_runs,ewm5_total,ewm5_margin,home_win_streak,scoring_trend,home_win_pct,away_win_pct,win_pct_diff
718741,2023-04-02,2023,R,146,121,Miami Marlins,New York Mets,1,5,0,6,-4,0,1,3,3,1,5.6,2.8,8.4,2.8,6.8,3.1,9.9,3.7,6.04419912953644,8.124356179623524,3.9640420794493583,4,-0.3333333333333339,0.25,0.75,-0.5
718744,2023-04-02,2023,R,113,134,Cincinnati Reds,Pittsburgh Pirates,3,1,1,4,2,1,2,1,1,2,5.0,2.4,7.4,2.6,5.9,3.5,9.4,2.4,4.362799352107861,7.416237424619839,1.309361279595885,0,-0.5999999999999996,0.6666666666666666,0.3333333333333333,0.3333333333333333
718736,2023-04-02,2023,R,119,109,Los Angeles Dodgers,Arizona Diamondbacks,1,2,0,3,-1,0,2,2,2,2,4.6,2.4,7.0,2.2,6.2,3.4,9.6,2.8,3.9085328892325517,6.277491585898978,1.5395741925661255,1,-0.8666666666666671,0.5,0.5,0.0
718734,2023-04-02,2023,R,133,108,Oakland Athletics,Los Angeles Angels,0,6,0,6,-6,0,1,2,2,1,3.0,1.8,4.8,1.2,5.1,3.4,8.5,1.7,2.939021908835456,5.184994371082684,0.6930494465882274,0,-2.533333333333333,0.3333333333333333,0.6666666666666666,-0.3333333333333333
718733,2023-04-02,2023,R,135,115,San Diego Padres,Colorado Rockies,3,1,1,4,2,0,2,2,2,2,2.2,2.8,5.0,-0.6,4.2,3.2,7.4,1.0,1.9593479275562153,5.456662917290557,-1.5379670621781276,0,-3.2,0.5,0.5,0.0
718735,2023-04-02,2023,R,136,114,Seattle Mariners,Cleveland Guardians,5,6,0,11,-1,0,1,3,3,1,1.6,3.0,4.6,-1.4,3.6,2.9,6.5,0.7,2.306231954458286,4.9711086076719,-0.35864469875532956,1,-3.4666666666666663,0.25,0.75,-0.5
718739,2023-04-02,2023,R,140,143,Texas Rangers,Philadelphia Phillies,2,1,1,3,1,0,3,0,0,3,2.4,3.2,5.6,-0.8,3.7,2.8,6.5,0.9,3.2041546410583264,6.980739082418459,-0.5724298003018076,0,-2.3333333333333335,1.0,0.0,1.0
718740,2023-04-02,2023,R,117,145,Houston Astros,Chicago White Sox,3,6,0,9,-3,0,2,2,2,2,2.2,3.2,5.4,-1.0,3.4,2.8,6.2,0.6,2.8027697592891685,5.6538260502633095,-0.048286531684973565,1,-2.666666666666666,0.5,0.5,0.0
718738,2023-04-02,2023,R,112,158,Chicago Cubs,Milwaukee Brewers,5,9,0,14,-4,0,1,2,2,1,2.6,4.0,6.6,-1.4,2.8,2.9,5.7,-0.1,2.8685131730141067,6.7692173694661575,-1.0321910234379439,0,-1.6666666666666665,0.3333333333333333,0.6666666666666666,-0.3333333333333333
718732,2023-04-03,2023,R,120,139,Washington Nationals,Tampa Bay Rays,2,6,0,8,-4,0,1,3,4,0,3.6,4.6,8.2,-1.0,2.9,3.7,6.6,-0.8,3.5790087831236947,9.179478250090852,-2.021460683843462,0,-0.3999999999999999,0.25,1.0,-0.75
718724,2023-04-03,2023,R,111,134,Boston Red Sox,Pittsburgh Pirates,6,7,0,13,-1,0,2,2,2,2,3.4,5.6,9.0,-2.2,2.5,4.3,6.8,-1.8,3.052672521532151,8.786318832982833,-2.68097378991853,0,-0.1333333333333333,0.5,0.5,0.0
718725,2023-04-03,2023,R,147,143,New York Yankees,Philadelphia Phillies,8,1,1,9,7,0,3,1,0,4,3.6,5.8,9.4,-2.2,3.0,4.5,7.5,-1.5,4.035115015039564,10.190879222967583,-2.1206491928884543,0,-0.06666666666666643,0.75,0.0,0.75
718730,2023-04-03,2023,R,145,137,Chicago White Sox,San Francisco Giants,3,12,0,15,-9,0,2,3,2,2,4.8,5.8,10.6,-1.0,3.5,4.5,8.0,-1.0,5.356743343973857,9.793919481793926,0.919567206153788,1,0.9333333333333331,0.4,0.5,-0.09999999999999998
718731,2023-04-03,2023,R,158,121,Milwaukee Brewers,New York Mets,10,0,1,10,10,0,3,1,3,2,4.8,7.0,11.8,-2.2,3.7,5.5,9.2,-1.8,4.571162229072537,11.529279655066889,-2.3869551969218126,0,1.333333333333333,0.75,0.6,0.15000000000000002
718728,2023-04-03,2023,R,113,112,Cincinnati Reds,Chicago Cubs,7,6,1,13,1,1,3,1,1,3,5.8,5.2,11.0,0.6,4.7,4.9,9.6,-0.2,6.380774819755429,11.019519769939313,1.7420298695715453,1,1.9333333333333331,0.75,0.25,0.5
718721,2023-04-03,2023,R,133,114,Oakland Athletics,Cleveland Guardians,11,12,0,23,-1,0,1,3,4,1,6.8,5.2,12.0,1.6,5.1,5.4,10.5,-0.3,6.5871832131987045,11.679679846717104,1.4946865796803077,2,2.8666666666666667,0.25,0.8,-0.55
718729,2023-04-03,2023,R,146,142,Miami Marlins,Minnesota Twins,1,11,0,12,-10,0,1,4,4,0,7.8,6.2,14.0,1.6,5.7,6.0,11.7,-0.3,8.058122142267488,15.453119898157768,0.6631243863772089,0,3.2,0.2,1.0,-0.8
718722,2023-04-03,2023,R,135,109,San Diego Padres,Arizona Diamondbacks,5,4,1,9,1,0,3,2,2,3,6.4,8.2,14.6,-1.8,5.6,7.0,12.6,-1.4,5.705414761367688,14.302079932034742,-2.8912504092993654,0,1.9333333333333336,0.6,0.4,0.19999999999999996
718718,2023-04-03,2023,R,119,115,Los Angeles Dodgers,Colorado Rockies,13,4,1,17,9,0,3,2,2,3,6.8,6.6,13.4,0.2,5.8,6.8,12.6,-1.0,5.470276507568866,12.534719954617726,-1.5941669394799949,1,2.0666666666666664,0.6,0.4,0.19999999999999996
718719,2023-04-03,2023,R,118,141,Kansas City Royals,Toronto Blue Jays,9,5,1,14,4,0,1,3,1,3,7.4,7.4,14.8,0.0,6.6,6.3,12.9,0.3,7.980184338447507,14.023146636452298,1.9372220404427136,2,1.8000000000000007,0.25,0.25,0.0
718720,2023-04-03,2023,R,136,108,Seattle Mariners,Los Angeles Angels,3,7,0,10,-4,0,1,4,3,1,7.8,7.2,15.0,0.6,7.3,6.2,13.5,1.1,8.320122892304502,14.01543109096806,2.6248146936409427,3,1.7999999999999998,0.2,0.75,-0.55
718727,2023-04-03,2023,R,138,144,St. Louis Cardinals,Atlanta Braves,4,8,0,12,-4,0,2,2,3,1,6.2,6.2,12.4,0.0,7.0,6.2,13.2,0.8,6.546748594848233,12.676954060629194,0.41654312906726954,0,0.3333333333333339,0.5,0.75,-0.25
718723,2023-04-03,2023,R,117,116,Houston Astros,Detroit Tigers,6,7,0,13,-1,0,2,3,1,3,6.8,5.6,12.4,1.2,6.6,6.9,13.5,-0.3,5.697832396558647,12.451302707084313,-1.055637913967017,0,0.7999999999999998,0.4,0.25,0.15000000000000002
718726,2023-04-03,2023,R,140,110,Texas Rangers,Baltimore Orioles,0,2,0,2,-2,0,3,1,2,2,7.0,6.2,13.2,0.8,6.9,6.4,13.3,0.5,5.79855493103964,12.634201804723858,-1.0370919426445784,0,0.7999999999999998,0.75,0.5,0.25
718708,2023-04-04,2023,R,118,141,Kansas City Royals,Toronto Blue Jays,1,4,0,5,-3,0,1,4,2,3,4.4,5.8,10.2,-1.4,5.9,6.6,12.5,-0.7,3.8657032873528383,9.089467869803212,-1.3580612950975353,0,-1.466666666666666,0.2,0.4,-0.2
718717,2023-04-04,2023,R,135,109,San Diego Padres,Arizona Diamondbacks,6,8,0,14,-2,0,3,3,3,3,2.8,5.6,8.4,-2.8,5.3,6.4,11.7,-1.1,2.9104688582329445,7.726311913198886,-1.905374196732997,0,-3.0,0.5,0.5,0.0
718716,2023-04-04,2023,R,113,112,Cincinnati Reds,Chicago Cubs,5,12,0,17,-7,1,3,2,2,3,3.4,5.8,9.2,-2.4,4.8,6.0,10.8,-1.2,3.940312572156935,9.817541275469253,-1.9369161311553813,0,-2.4,0.6,0.4,0.19999999999999996
718714,2023-04-04,2023,R,146,142,Miami Marlins,Minnesota Twins,1,0,1,1,1,0,2,4,4,1,3.6,6.6,10.2,-3.0,5.2,6.1,11.3,-0.9,4.293541714771665,12.21169418364871,-3.6246107541053787,0,-1.9999999999999996,0.3333333333333333,0.8,-0.46666666666666673
718715,2023-04-04,2023,R,120,139,Washington Nationals,Tampa Bay Rays,6,10,0,16,-4,0,1,4,5,0,2.6,5.2,7.8,-2.6,4.8,5.7,10.5,-0.9,3.195694476513667,8.474462789096497,-2.083073836069162,1,-2.8666666666666667,0.2,1.0,-0.8
718710,2023-04-04,2023,R,147,143,New York Yankees,Philadelphia Phillies,1,4,0,5,-3,0,3,2,1,4,3.8,6.8,10.6,-3.0,4.1,6.3,10.4,-2.2,4.130462984342885,10.98297519273218,-2.722049224046409,0,-1.4000000000000004,0.6,0.2,0.39999999999999997
718713,2023-04-04,2023,R,111,134,Boston Red Sox,Pittsburgh Pirates,1,4,0,5,-3,0,2,3,3,2,3.8,6.8,10.6,-3.0,3.3,6.2,9.5,-2.9,3.086975322894929,8.988650128487492,-2.8146994826976353,0,-1.0,0.4,0.6,-0.19999999999999996
718711,2023-04-04,2023,R,138,144,St. Louis Cardinals,Atlanta Braves,1,4,0,5,-3,0,2,3,4,1,2.8,6.0,8.8,-3.2,3.1,5.9,9.0,-2.8,2.3913168819298067,7.65910008565805,-2.8764663217984365,0,-1.333333333333334,0.4,0.8,-0.4
718709,2023-04-04,2023,R,140,110,Texas Rangers,Baltimore Orioles,2,7,0,9,-5,0,3,2,3,2,2.0,4.4,6.4,-2.4,2.8,5.5,8.3,-2.7,1.9275445879531397,6.772733390438576,-2.917644214532297,0,-2.1333333333333337,0.6,0.6,0.0
718705,2023-04-04,2023,R,117,116,Houston Astros,Detroit Tigers,3,6,0,9,-3,0,2,4,2,3,2.2,5.8,8.0,-3.6,2.4,5.5,7.9,-3.1,1.951696391968762,7.515155593625788,-3.6117628096882624,0,-1.733333333333333,0.3333333333333333,0.4,-0.06666666666666671
